Timestamp,Temperature (C),Duty Cycle (%),Latency (ms),Power (W),Model,Confidence (%)
2025-07-25 14:18:18,26.86,0,14.677,0.004
2025-07-25 14:18:19,27.03,70.98,6.131,0.002
2025-07-25 14:18:20,26.74,0,10.279,0.001,PID,20.0
2025-07-25 14:18:22,27.14,100,14.499,9.214,PID,20.0
2025-07-25 14:18:23,26.97,57.55,10.504,7.371,NN_FAST,85.218
2025-07-25 14:18:24,26.79,100,13.659,12.207,PID,20.0
2025-07-25 14:18:25,26.63,100,12.346,15.55,PID,20.0
2025-07-25 14:18:26,26.38,65.03,11.922,13.606,NN_FAST,87.804
2025-07-25 14:18:28,26.17,100,9.312,16.153,PID,20.0
2025-07-25 14:18:29,25.96,100,14.494,18.1,PID,20.0
2025-07-25 14:18:30,25.65,100,7.49,21.663,PID,20.0
2025-07-25 14:18:32,25.45,100,14.344,25.227,PID,20.0
2025-07-25 14:18:33,25.13,100,14.594,28.786,PID,20.0
2025-07-25 14:18:34,24.86,79.64,12.811,26.99,NN_FAST,80.609
2025-07-25 14:18:35,24.5,100,14.306,30.6,PID,20.0
2025-07-25 14:18:36,24.26,100,14.268,30.51,PID,20.0
2025-07-25 14:18:38,23.84,100,6.54,30.498,PID,20.0
2025-07-25 14:18:39,23.58,100,12.23,34.043,PID,20.0
2025-07-25 14:18:40,23.26,100,12.209,33.932,NN_SLOW,83.468
2025-07-25 14:18:41,22.91,100,9.184,33.91,PID,20.0
2025-07-25 14:18:43,22.63,100,14.407,33.882,PID,20.0
2025-07-25 14:18:44,22.3,100,12.153,33.852,PID,20.0
2025-07-25 14:18:45,21.93,100,9.861,33.825,PID,20.0
2025-07-25 14:18:46,21.68,100,14.582,35.465,PID,20.0
2025-07-25 14:18:48,21.26,100,13.353,35.377,PID,20.0
2025-07-25 14:18:49,21.04,100,10.577,35.347,PID,20.0
2025-07-25 14:18:50,20.67,98.13,16.834,34.031,PID,20.0
2025-07-25 14:18:51,20.6,97.9,16.889,32.512,PID,20.0
2025-07-25 14:18:53,20.09,93.45,11.637,32.555,PID,20.0
2025-07-25 14:18:54,19.91,81.6,13.27,30.929,NN_FAST,88.25
2025-07-25 14:18:55,19.9,94.96,16.324,29.735,PID,20.0
2025-07-25 14:18:56,19.52,71.32,15.743,28.206,NN_FAST,81.126
2025-07-25 14:18:58,19.52,91.51,15.105,26.732,PID,20.0
2025-07-25 14:18:59,19.22,86.33,17.311,25.405,PID,20.0
2025-07-25 14:19:00,19.04,84.93,16.658,23.934,PID,20.0
2025-07-25 14:19:01,18.96,84.33,14.039,22.417,PID,20.0
2025-07-25 14:19:03,18.66,81.75,17.365,22.237,PID,20.0
2025-07-25 14:19:04,18.68,48.32,17.326,21.903,NN_FAST,80.517
2025-07-25 14:19:05,18.58,83.17,16.789,20.441,PID,20.0
2025-07-25 14:19:06,18.33,79.11,10.394,20.477,PID,20.0
2025-07-25 14:19:08,18.46,80.36,18.175,20.346,PID,20.0
2025-07-25 14:19:09,18.26,78.49,11.204,21.894,PID,20.0
2025-07-25 14:19:10,17.99,76.19,6.18,23.383,PID,20.0
2025-07-25 14:19:11,18.17,61.25,17.431,23.192,NN_SLOW,95.699
2025-07-25 14:19:13,17.91,77.14,7.434,21.141,PID,20.0
2025-07-25 14:19:14,17.95,76.12,16.943,21.28,PID,20.0
2025-07-25 14:19:15,17.86,75.24,12.501,22.781,PID,20.0
2025-07-25 14:19:16,17.61,73.08,17.457,23.123,PID,20.0
2025-07-25 14:19:18,17.67,73.8,15.72,22.88,PID,20.0
2025-07-25 14:19:19,17.64,50.08,8.005,24.486,NN_FAST,87.383
2025-07-25 14:19:20,17.45,72.92,16.862,24.334,PID,20.0
2025-07-25 14:19:21,17.67,54.34,17.417,22.695,NN_FAST,80.616
2025-07-25 14:19:23,17.45,73.01,16.559,21.238,PID,20.0
2025-07-25 14:19:24,17.33,47.35,7.075,22.775,NN_FAST,82.53
2025-07-25 14:19:25,17.13,69.99,16.654,24.787,PID,20.0
2025-07-25 14:19:26,17.04,68.55,16.742,24.532,PID,20.0
2025-07-25 14:19:28,17.23,59.88,11.745,22.825,NN_SLOW,86.98
2025-07-25 14:19:29,16.8,67.04,17.196,22.697,PID,20.0
2025-07-25 14:19:30,17.03,54.87,13.031,22.795,NN_SLOW,84.14
2025-07-25 14:19:31,16.77,66.94,11.331,21.209,PID,20.0
2025-07-25 14:19:32,16.71,44.45,13.557,20.852,NN_FAST,81.054
2025-07-25 14:19:34,16.83,67.49,12.896,20.805,PID,20.0
