Timestamp,Temperature (C),Duty Cycle (%),Latency (ms),Power (W)
2025-07-16 20:39:44,32.74,0,10.92,0.004
2025-07-16 20:39:45,32.62,100,13.92,18.333
2025-07-16 20:39:47,32.62,100,13.798,24.024
2025-07-16 20:39:48,32.61,100,8.911,26.894
2025-07-16 20:39:49,32.4,100,13.869,28.631
2025-07-16 20:39:50,32.04,100,13.845,29.78
2025-07-16 20:39:51,31.81,100,12.133,30.608
2025-07-16 20:39:52,31.55,100,12.758,31.226
2025-07-16 20:39:53,31.2,100,8.761,31.702
2025-07-16 20:39:55,30.87,98.83,16.592,30.78
2025-07-16 20:39:56,30.29,100,11.358,34.381
2025-07-16 20:39:57,30.19,100,12.485,34.253
2025-07-16 20:39:58,29.8,100,13.857,34.253
2025-07-16 20:39:59,29.44,100,16.915,34.236
2025-07-16 20:40:00,29.05,100,14.387,34.21
2025-07-16 20:40:01,28.87,100,10.574,34.188
2025-07-16 20:40:03,28.37,95.18,11.519,32.901
2025-07-16 20:40:04,27.91,93.61,22.887,31.624
2025-07-16 20:40:05,27.53,100,13.934,31.64
2025-07-16 20:40:06,27.3,94.12,14.555,31.479
2025-07-16 20:40:07,27.02,93.96,7.895,31.437
2025-07-16 20:40:08,26.72,81.04,15.506,29.973
2025-07-16 20:40:10,26.51,92.16,7.377,29.997
2025-07-16 20:40:11,26.51,77.81,16.911,28.538
2025-07-16 20:40:12,26.33,92.58,8.793,28.566
2025-07-16 20:40:13,25.86,76.4,13.36,27.158
2025-07-16 20:40:14,25.8,82.83,9.071,28.444
2025-07-16 20:40:15,25.5,75.4,16.663,28.063
2025-07-16 20:40:16,25.41,88.26,16.586,26.693
2025-07-16 20:40:18,25.2,86.0,13.065,28.159
2025-07-16 20:40:19,25.09,80.64,12.147,27.385
2025-07-16 20:40:20,24.9,77.52,6.047,28.856
2025-07-16 20:40:21,24.64,66.51,16.807,27.189
2025-07-16 20:40:22,24.46,83.65,15.267,27.197
2025-07-16 20:40:23,24.35,80.07,13.261,25.67
2025-07-16 20:40:24,24.2,75.07,15.159,25.507
2025-07-16 20:40:26,24.04,77.56,14.226,24.007
2025-07-16 20:40:27,23.91,74.07,14.776,24.219
2025-07-16 20:40:28,23.94,75.48,16.207,23.964
2025-07-16 20:40:29,23.59,76.76,16.436,22.575
2025-07-16 20:40:30,23.62,76.23,11.219,23.328
2025-07-16 20:40:31,23.35,65.87,16.361,21.709
2025-07-16 20:40:32,23.24,73.91,13.407,21.832
2025-07-16 20:40:34,23.03,67.15,9.015,23.295
2025-07-16 20:40:35,23.07,60.86,6.076,21.261
2025-07-16 20:40:36,23.1,54.01,8.099,19.302
2025-07-16 20:40:37,22.8,54.28,12.099,17.246
2025-07-16 20:40:38,22.73,58.91,14.384,17.124
2025-07-16 20:40:39,22.7,63.63,6.021,15.182
2025-07-16 20:40:41,22.55,46.55,12.524,16.687
2025-07-16 20:40:42,22.29,57.82,14.872,14.921
2025-07-16 20:40:43,22.15,60.69,9.697,14.94
2025-07-16 20:40:44,22.14,50.13,10.685,12.92
2025-07-16 20:40:45,21.96,49.5,13.913,11.179
2025-07-16 20:40:46,21.88,53.92,14.487,12.943
2025-07-16 20:40:47,22.06,57.49,12.611,14.87
2025-07-16 20:40:49,21.62,54.0,11.301,16.718
2025-07-16 20:40:50,21.87,53.78,12.652,18.279
2025-07-16 20:40:51,21.78,57.8,11.174,20.18
2025-07-16 20:40:52,21.54,54.88,15.726,18.474
2025-07-16 20:40:53,21.43,63.1,13.086,18.594
2025-07-16 20:40:54,21.38,57.34,11.674,18.59
2025-07-16 20:40:55,21.41,54.71,17.398,20.418
2025-07-16 20:40:57,21.25,66.51,6.051,22.142
2025-07-16 20:40:58,21.18,45.96,17.029,22.13
2025-07-16 20:40:59,21.08,65.16,12.452,22.14
2025-07-16 20:41:00,21.16,55.73,16.585,22.082
2025-07-16 20:41:01,20.98,63.59,9.941,18.535
2025-07-16 20:41:02,20.79,48.25,8.396,16.634
2025-07-16 20:41:03,20.78,45.25,6.084,18.2
2025-07-16 20:41:05,20.57,42.42,6.66,16.307
2025-07-16 20:41:06,20.4,41.57,14.522,16.052
2025-07-16 20:41:07,20.67,55.95,6.045,17.761
2025-07-16 20:41:08,20.64,42.6,12.801,16.005
2025-07-16 20:41:09,20.41,51.16,17.24,16.138
2025-07-16 20:41:10,20.11,59.09,11.477,16.2
2025-07-16 20:41:11,19.92,46.16,16.159,16.244
