Timestamp,Temperature (C),Duty Cycle (%),Latency (ms),Power (W)
2025-07-21 13:23:13,26.28,0,9.626,0.004
2025-07-21 13:23:14,26.29,66.35,14.755,9.038
2025-07-21 13:23:16,26.37,72.76,16.839,12.125
2025-07-21 13:23:17,26.28,77.19,16.503,13.854
2025-07-21 13:23:18,26.28,77.34,16.674,15.232
2025-07-21 13:23:19,26.12,77.92,16.464,16.134
2025-07-21 13:23:20,26.03,78.05,10.429,18.728
2025-07-21 13:23:21,25.97,70.39,14.532,18.88
2025-07-21 13:23:23,26.07,77.38,10.383,18.932
2025-07-21 13:23:24,25.96,70.39,12.766,17.402
2025-07-21 13:23:25,25.69,71.85,12.751,19.392
2025-07-21 13:23:26,25.69,73.4,15.091,19.588
2025-07-21 13:23:27,25.5,77.06,13.32,19.791
2025-07-21 13:23:28,25.38,73.59,6.149,21.321
2025-07-21 13:23:29,25.28,62.53,6.108,22.679
2025-07-21 13:23:31,25.19,63.3,16.71,22.409
2025-07-21 13:23:32,25.04,81.73,6.084,18.98
2025-07-21 13:23:33,24.99,59.3,7.86,20.41
2025-07-21 13:23:34,24.81,62.44,14.001,20.421
2025-07-21 13:23:35,24.64,72.79,17.107,22.116
2025-07-21 13:23:36,24.55,80.67,13.846,22.2
2025-07-21 13:23:37,24.4,73.42,16.857,22.145
2025-07-21 13:23:39,23.95,77.96,13.878,22.051
2025-07-21 13:23:40,24.14,72.32,6.8,22.047
2025-07-21 13:23:41,23.98,59.13,7.938,18.615
2025-07-21 13:23:42,24.09,58.17,16.55,18.601
2025-07-21 13:23:43,23.68,72.97,6.098,22.041
2025-07-21 13:23:44,23.6,56.6,13.109,20.381
2025-07-21 13:23:46,23.52,66.89,6.387,18.434
2025-07-21 13:23:47,23.47,53.31,14.152,18.295
2025-07-21 13:23:48,23.49,66.97,16.772,18.052
2025-07-21 13:23:49,23.17,71.29,10.232,19.546
2025-07-21 13:23:50,23.07,59.24,9.2,19.389
2025-07-21 13:23:51,22.81,56.26,17.584,17.873
2025-07-21 13:23:52,22.83,71.93,16.742,19.697
2025-07-21 13:23:54,22.95,72.01,8.385,21.339
2025-07-21 13:23:55,22.58,56.03,10.658,21.32
2025-07-21 13:23:56,22.5,59.63,6.392,19.557
2025-07-21 13:23:57,22.63,51.18,9.062,22.993
2025-07-21 13:23:58,22.39,56.93,8.986,21.074
2025-07-21 13:23:59,22.06,54.48,6.117,19.244
2025-07-21 13:24:00,22.22,49.08,15.038,17.616
2025-07-21 13:24:02,22.26,64.02,6.109,19.265
2025-07-21 13:24:03,21.99,48.23,14.33,19.245
2025-07-21 13:24:04,21.97,62.88,7.887,17.422
2025-07-21 13:24:05,21.81,48.58,16.639,15.72
2025-07-21 13:24:06,21.81,64.43,17.111,14.206
2025-07-21 13:24:07,21.73,63.71,15.567,16.22
2025-07-21 13:24:08,21.62,61.78,17.113,14.822
2025-07-21 13:24:10,21.33,63.02,16.638,16.694
2025-07-21 13:24:11,21.38,63.73,6.089,20.126
2025-07-21 13:24:12,21.24,45.74,6.942,18.311
2025-07-21 13:24:13,21.39,46.6,11.747,16.64
2025-07-21 13:24:14,21.2,52.4,9.841,18.179
2025-07-21 13:24:15,21.22,50.36,17.259,20.039
2025-07-21 13:24:17,20.91,64.33,7.724,21.746
2025-07-21 13:24:18,21.04,47.02,8.848,23.279
2025-07-21 13:24:19,20.97,48.59,11.649,24.703
2025-07-21 13:24:20,20.93,53.37,10.092,26.106
2025-07-21 13:24:21,20.91,50.85,14.382,26.119
2025-07-21 13:24:22,20.93,59.32,16.522,24.471
2025-07-21 13:24:23,20.69,62.4,17.248,26.466
